labels,mm_x,mm_y,mm_z,surfmm_x,surfmm_y,surfmm_z,vox_x,vox_y,vox_z,roi,roiNum
LF5,-38.15789473684211,6.84210526315789,40.84210526315789,-37.15789473684211,23.84210526315789,21.84210526315789,165,106,151,ctx-lh-caudalmiddlefrontal,1003.0
LF6,-41.413793103448285,4.896551724137936,41.62068965517241,-40.413793103448285,21.896551724137936,22.620689655172413,168,105,149,ctx-lh-precentral,1024.0
LF7,-44.81818181818181,3.613636363636374,42.88636363636364,-43.81818181818181,20.61363636363637,23.88636363636364,171,104,148,ctx-lh-precentral,1024.0
LF8,-48.34375,1.9375,46.28125,-47.34375,18.9375,27.28125,175,100,146,ctx-lh-precentral,1024.0
LF9,-52.36170212765958,0.148936170212778,50.51063829787235,-51.36170212765958,17.148936170212778,31.510638297872347,179,96,145,ctx-lh-precentral,1024.0
LG1,-15.175438596491231,-5.15789473684211,34.33333333333333,-14.175438596491231,11.84210526315789,15.333333333333329,142,112,139,ctx-lh-superiorfrontal,1028.0
LG3,-25.245614035087726,-4.017543859649123,40.631578947368425,-24.245614035087726,12.982456140350877,21.631578947368425,152,106,140,ctx-lh-caudalmiddlefrontal,1003.0
LG4,-30.18518518518519,-3.8148148148148096,43.25925925925925,-29.18518518518519,13.18518518518519,24.25925925925925,157,103,141,ctx-lh-caudalmiddlefrontal,1003.0
LG5,-33.58823529411765,-3.35294117647058,45.32352941176471,-32.58823529411765,13.64705882352942,26.32352941176471,160,101,141,ctx-lh-caudalmiddlefrontal,1003.0
LG6,-36.96296296296296,-2.333333333333343,47.85185185185185,-35.96296296296296,14.666666666666655,28.851851851851848,163,99,142,ctx-lh-caudalmiddlefrontal,1003.0
LG7,-40.178571428571416,-2.0,51.03571428571429,-39.178571428571416,15.0,32.03571428571429,167,95,143,ctx-lh-caudalmiddlefrontal,1003.0
LG8,-44.96875,-2.40625,54.1875,-43.96875,14.59375,35.1875,171,92,142,ctx-lh-precentral,1024.0
LH1,-23.833333333333343,-72.77777777777777,6.111111111111114,-22.833333333333343,-55.77777777777777,-12.888888888888886,150,140,72,ctx-lh-pericalcarine,1021.0
LH2,-28.34285714285716,-69.77142857142857,9.85714285714286,-27.34285714285716,-52.77142857142857,-9.14285714285714,155,137,75,ctx-lh-pericalcarine,1021.0
LH4,-35.49019607843138,-62.882352941176464,20.784313725490197,-34.49019607843138,-45.882352941176464,1.7843137254901933,162,126,82,ctx-lh-inferiorparietal,1008.0
LH5,-40.86486486486487,-59.0,25.24324324324324,-39.86486486486487,-42.0,6.243243243243242,167,121,86,ctx-lh-inferiorparietal,1008.0
LH6,-44.783783783783775,-56.75675675675676,29.21621621621621,-43.783783783783775,-39.75675675675676,10.21621621621621,171,117,88,ctx-lh-inferiorparietal,1008.0
LH7,-48.03125,-54.34375,33.59375,-47.03125,-37.34375,14.59375,175,113,90,ctx-lh-inferiorparietal,1008.0
LH8,-51.64516129032259,-54.322580645161295,37.322580645161295,-50.64516129032259,-37.322580645161295,18.322580645161292,178,109,90,ctx-lh-supramarginal,1031.0
LH9,-55.85,-51.55,38.900000000000006,-54.85,-34.55,19.90000000000001,182,108,93,ctx-lh-supramarginal,1031.0
LH10,-59.98387096774192,-49.935483870967744,41.61290322580645,-58.98387096774192,-32.935483870967744,22.61290322580645,186,105,95,ctx-lh-supramarginal,1031.0
LI1,-1.4634146341463463,33.26829268292684,6.82926829268294,-0.4634146341463463,50.26829268292684,-12.17073170731706,128,140,178,ctx-lh-rostralanteriorcingulate,1026.0
LI2,-6.416666666666657,32.83333333333334,7.333333333333343,-5.416666666666657,49.83333333333334,-11.666666666666655,133,139,177,ctx-lh-rostralanteriorcingulate,1026.0
LI8,-36.14705882352942,36.382352941176464,8.794117647058812,-35.14705882352942,53.382352941176464,-10.205882352941188,163,138,181,ctx-lh-rostralmiddlefrontal,1027.0
LI9,-40.84210526315789,36.63157894736841,8.78947368421052,-39.84210526315789,53.63157894736841,-10.21052631578948,167,138,181,ctx-lh-parstriangularis,1020.0
LI10,-45.94999999999999,35.55000000000001,8.125,-44.94999999999999,52.55000000000001,-10.875,172,138,180,ctx-lh-parstriangularis,1020.0
LI11,-51.65957446808511,35.46808510638297,7.319148936170222,-50.65957446808511,52.46808510638297,-11.680851063829778,178,139,180,ctx-lh-parstriangularis,1020.0
LI12,-57.0,35.54545454545453,6.113636363636374,-56.0,52.54545454545453,-12.886363636363626,184,140,180,ctx-lh-parstriangularis,1020.0
LJ1,-2.803278688524585,-46.98360655737704,31.50819672131148,-1.8032786885245853,-29.983606557377044,12.508196721311478,129,115,98,ctx-lh-isthmuscingulate,1010.0
LJ2,-8.36842105263159,-49.631578947368425,31.763157894736835,-7.368421052631589,-32.631578947368425,12.763157894736835,135,115,95,ctx-lh-precuneus,1025.0
LJ3,-12.925925925925924,-51.18518518518519,31.77777777777777,-11.925925925925924,-34.18518518518519,12.777777777777771,139,115,93,ctx-lh-precuneus,1025.0
